STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/23/2013,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/24/2013,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/3/2013,0.12
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/4/2013,0.67
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/7/2013,1.62
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/8/2013,2.95
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/10/2013,0.12
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/11/2013,0.68
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/14/2013,0.11
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/18/2013,0.01
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/19/2013,0.46
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/23/2013,0.15
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/27/2013,0.33
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/29/2013,1.42
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/1/2013,0.19
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/2/2013,1.17
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/3/2013,0.66
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/12/2013,0.66
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/14/2013,0.86
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/22/2013,0.55
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/29/2013,0.29
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/1/2013,0.23
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/2/2013,0.32
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/4/2013,0.87
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/6/2013,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/7/2013,0.09
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/24/2013,
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/2/2013,6.1
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/4/2013,0.12
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/13/2013,0.19
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/16/2013,0.03
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/17/2013,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/20/2013,0.15
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/22/2013,1.46
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/7/2013,0.16
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/8/2013,0.22
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/10/2013,0.24
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/14/2013,0.18
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/15/2013,0.05
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/2/2013,1.35
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/7/2013,0.13
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/18/2013,0.13
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/27/2013,1.82
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/28/2013,0.26
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/7/2014,0.22
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/8/2014,1
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/9/2014,0.04
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/15/2014,1
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/16/2014,0.35
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/19/2014,0.55
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/26/2014,0.54
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/30/2014,0.9
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/1/2014,0.83
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/10/2014,0.08
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/16/2014,4.28
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/27/2014,0.2
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/28/2014,0.07
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/4/2014,0.34
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/10/2014,1
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/12/2014,0.47
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/13/2014,0.47
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/14/2014,0.38
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/20/2014,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/21/2014,1.41
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/22/2014,0.6
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/27/2014,0.16
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/11/2014,0.26
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/16/2014,2.15
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/21/2014,0.15
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/22/2014,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/25/2014,
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/28/2014,0.52
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/31/2014,0.55
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/17/2014,
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/19/2014,0.37
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/24/2014,0.03
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/29/2014,0.03
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/4/2014,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/5/2014,0.53
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/8/2014,0.47
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/12/2014,0.05
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/13/2014,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/22/2014,0.2
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/24/2014,0.09
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/25/2014,2.66
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/26/2014,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/30/2014,0.05
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/11/2014,0.6
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/12/2014,0.44
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/13/2014,0.05
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/15/2014,2
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/30/2014,0.17
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/1/2014,0.49
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/7/2014,0.18
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/17/2014,0.23
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/24/2014,0.64
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/25/2014,0.04
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,1/12/2015,1.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/9/2015,0.31
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/10/2015,0.16
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/15/2015,1.55
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/16/2015,0.36
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/17/2015,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/18/2015,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/20/2015,0.9
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/21/2015,0.96
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/26/2015,0.37
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/30/2015,0.04
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/1/2015,0.8
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/2/2015,0.56
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/10/2015,0.11
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/11/2015,0.61
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/20/2015,0.11
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/22/2015,0.37
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/28/2015,0
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/3/2015,0.19
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/4/2015,0.32
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/5/2015,0.03
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/9/2015,0.41
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/11/2015,0.48
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/18/2015,0.37
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/19/2015,2
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/21/2015,
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/26/2015,0.1
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/27/2015,0.82
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/28/2015,0.27
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/1/2015,0.09
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/3/2015,0.22
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/7/2015,
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/13/2015,0.19
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/14/2015,0.19
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/19/2015,0.25
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/20/2015,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/22/2015,0.33
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/24/2015,0.84
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/19/2015,0.4
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/25/2015,0.89
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/31/2015,0.51
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/1/2015,0.18
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/3/2015,0.31
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/9/2015,0.07
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/10/2015,0.24
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/11/2015,0.03
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/13/2015,0.21
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/25/2015,0.76
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/26/2015,1.1
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/27/2015,0.77
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/28/2015,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/29/2015,0.82
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/30/2015,0.11
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/1/2015,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/2/2015,0.59
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/3/2015,2.42
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/4/2015,0.55
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/5/2015,0.05
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/6/2015,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/11/2015,0.21
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/27/2015,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/28/2015,0.6
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/29/2015,0.46
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/30/2015,0.07
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/2/2015,0.62
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/3/2015,1.97
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/4/2015,0.09
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/5/2015,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/8/2015,0.6
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/9/2015,0.18
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/10/2015,1.45
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/19/2015,1.15
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/20/2015,0.15
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/12/2016,0.34
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,4/13/2016,0.64
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/3/2016,0.46
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/4/2016,0.23
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/6/2016,1.46
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/7/2016,0.34
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/9/2016,0.08
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/10/2016,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/13/2016,0.13
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/18/2016,0.38
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/21/2016,0.5
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/22/2016,0.07
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/23/2016,0.13
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/30/2016,1.33
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,5/31/2016,0.09
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/2/2016,0.42
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/4/2016,0.08
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/5/2016,0.52
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/6/2016,0.6
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/7/2016,0.29
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/16/2016,0.26
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/17/2016,0.06
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/23/2016,0.3
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/24/2016,0.97
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,6/29/2016,1.76
